"xdesign1","xdesign2","xdesign3","xdesign4","xdesign5","xdesign6","xdesign7","xdesign8","xdesign9","xdesign10","xdesign11","xdesign12","xdesign13","xdesign14","xdesign15","ssd.c"
0.62105,0.83345,0.83245,0.42985,0.99775,0.01065,0.81275,0.28225,0.29085,0.56765,0.29055,0.70695,0.33045,0.92975,0.66515,15.0542743202844
0.75105,0.96975,0.89415,0.14305,0.18485,0.37065,0.58795,0.08565,0.94485,0.93195,0.11145,0.36705,0.22445,0.70975,0.16995,15.0690298200424
0.49605,0.81075,0.10465,0.91015,0.93455,0.34585,0.16615,0.17515,0.47285,0.26515,0.32505,0.30105,0.15135,0.63815,0.55625,15.0894689069546
0.63855,0.65825,0.02905,0.97685,0.73925,0.13105,0.70205,0.36035,0.81965,0.68035,0.50205,0.66965,0.03385,0.31925,0.28155,15.1063559957069
0.11435,0.74755,0.17285,0.14585,0.99705,0.87865,0.90405,0.18235,0.70645,0.09145,0.89705,0.08265,0.04435,0.05245,0.99795,15.1281796211842
0.49175,0.99085,0.60245,0.75385,0.56735,0.89905,0.31115,0.09365,0.56035,0.41785,0.01235,0.70635,0.47245,0.97525,0.94165,15.1372809646702
0.20995,0.68775,0.50855,0.73275,0.67665,0.20945,0.80615,0.38625,0.04495,0.48155,0.76965,0.05685,0.37255,0.68455,0.30785,15.1481744149484
0.18445,0.83845,0.24915,0.97005,0.17715,0.59405,0.24185,0.44005,0.69785,0.58465,0.37685,0.71045,0.11475,0.83775,0.12205,15.1565774616912
0.21115,0.73195,0.72395,0.19195,0.68075,0.87295,0.66965,0.15825,0.27475,0.32555,0.79215,0.49125,0.07415,0.86755,0.85425,15.1611844406839
0.11845,0.95235,0.25105,0.56775,0.42725,0.01005,0.40685,0.51815,0.78475,0.66295,0.57505,0.12505,0.61565,0.74335,0.10165,15.2043369539886
0.35555,0.80755,0.92875,0.20465,0.91755,0.33915,0.77765,0.28875,0.17405,0.69825,0.45395,0.26015,0.11555,0.17725,0.29745,15.2110073542815
0.43695,0.82765,0.60535,0.32905,0.73115,0.15575,0.68425,0.06555,0.99455,0.62015,0.90275,0.67595,0.18565,0.16575,0.41295,15.2153034591349
0.32435,0.85795,0.88175,0.39475,0.29625,0.67715,0.85495,0.35305,0.31265,0.99695,0.38955,0.51415,0.46595,0.70125,0.29295,15.2723353636669
0.28735,0.94405,0.30625,0.89375,0.25935,0.10625,0.34305,0.36955,0.00825,0.58395,0.20815,0.06155,0.62605,0.56615,0.29635,15.2739814150595
0.34445,0.91955,0.21575,0.14365,0.73385,0.69895,0.86105,0.30025,0.44255,0.07695,0.31135,0.24915,0.14405,0.51025,0.71925,15.2839863575765
0.17875,0.75475,0.36405,0.66775,0.68295,0.75115,0.03285,0.05375,0.52085,0.65235,0.38395,0.13595,0.27705,0.36545,0.25585,15.2927731002603
0.30215,0.96785,0.70855,0.93295,0.49535,0.53645,0.04145,0.05605,0.29575,0.91615,0.20525,0.83645,0.62655,0.06135,0.24705,15.3102398429067
0.90865,0.99635,0.04785,0.99775,0.62145,0.05745,0.92445,0.39935,0.19105,0.04535,0.85195,0.05715,0.01285,0.14975,0.48965,15.3180607696419
0.17215,0.97305,0.52855,0.64625,0.16535,0.63255,0.10125,0.23865,0.72475,0.82065,0.60465,0.01425,0.49145,0.64245,0.30145,15.32677690899
0.23935,0.50895,0.46525,0.87815,0.14745,0.27835,0.98615,0.54935,0.48155,0.85875,0.08285,0.53705,0.26775,0.68715,0.99045,15.3376458117237
0.11955,0.64875,0.36975,0.42325,0.48095,0.36735,0.28865,0.42135,0.97425,0.95705,0.67315,0.63625,0.05235,0.60505,0.10925,15.3393229555812
0.31805,0.70575,0.92185,0.35135,0.20195,0.03705,0.84555,0.49715,0.13765,0.66135,0.93215,0.65885,0.09375,0.24905,0.53135,15.3418218612575
0.10395,0.99095,0.91805,0.64065,0.03175,0.32455,0.45605,0.34905,0.19785,0.60605,0.88885,0.76935,0.35595,0.97405,0.20295,15.3466494072317
0.30125,0.88115,0.49275,0.37435,0.01795,0.54845,0.51355,0.44865,0.34345,0.89045,0.62195,0.05035,0.44605,0.45955,0.58635,15.3557977337211
0.30615,0.73705,0.53365,0.03245,0.40615,0.21285,0.89985,0.22625,0.55395,0.59615,0.10125,0.21805,0.42875,0.50285,0.98875,15.3564023453532
0.41435,0.91315,0.05765,0.93395,0.22595,0.09355,0.46135,0.25705,0.74195,0.86245,0.51255,0.84155,0.42995,0.15325,0.34315,15.3906290287501
0.07965,0.86885,0.48035,0.95545,0.60315,0.28775,0.61495,0.12205,0.96755,0.74965,0.11975,0.85325,0.42935,0.39125,0.63825,15.4023199146835
0.11115,0.92575,0.45965,0.14855,0.94275,0.49185,0.30045,0.33215,0.91665,0.97405,0.45275,0.88405,0.08775,0.47875,0.02075,15.4056349212607
0.19535,0.70985,0.20105,0.70515,0.95475,0.23965,0.33065,0.28175,0.33035,0.61695,0.24945,0.40705,0.33295,0.35205,0.25325,15.4088566316137
0.08305,0.75355,0.26895,0.63415,0.69635,0.87105,0.19095,0.00455,0.46785,0.12985,0.34845,0.01225,0.35755,0.80865,0.21475,15.4106939721227
